  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
 37.7204 356.6364  324.597  264  1.7791E+00  1.5858E+01
 37.7224 356.6303  324.638  265  1.7788E+00  1.5887E+01
 37.7243 356.6242  324.679  266  1.7785E+00  1.5917E+01
 37.7262 356.6181  324.720  267  1.7782E+00  1.5947E+01
 37.7281 356.6119  324.761  268  1.7779E+00  1.5976E+01
 37.7300 356.6058  324.802  269  1.7776E+00  1.6006E+01
 37.7319 356.5997  324.843  270  1.7773E+00  1.6036E+01
 37.7339 356.5936  324.885  271  1.7770E+00  1.6065E+01
 37.7358 356.5874  324.926  272  1.7767E+00  1.6095E+01
 37.7377 356.5813  324.967  273  1.7764E+00  1.6124E+01
 37.7396 356.5752  325.008  274  1.7761E+00  1.6154E+01
 37.7415 356.5690  325.049  275  1.7758E+00  1.6184E+01
 37.7434 356.5629  325.090  276  1.7756E+00  1.6213E+01
 37.7453 356.5568  325.131  277  1.7753E+00  1.6243E+01
 37.7473 356.5507  325.172  278  1.7750E+00  1.6272E+01
 37.7492 356.5445  325.214  279  1.7747E+00  1.6302E+01
 37.7511 356.5384  325.255  280  1.7744E+00  1.6332E+01
 37.7530 356.5323  325.296  281  1.7741E+00  1.6361E+01
 37.7549 356.5262  325.337  282  1.7738E+00  1.6391E+01
 37.7568 356.5200  325.378  283  1.7735E+00  1.6420E+01
 37.7587 356.5139  325.419  284  1.7732E+00  1.6450E+01
 37.7606 356.5078  325.461  285  1.7729E+00  1.6479E+01
 37.7626 356.5016  325.502  286  1.7726E+00  1.6509E+01
 37.7645 356.4955  325.543  287  1.7723E+00  1.6538E+01
 37.7664 356.4894  325.584  288  1.7720E+00  1.6568E+01
 37.7683 356.4832  325.626  289  1.7717E+00  1.6597E+01
 37.7702 356.4771  325.667  290  1.7714E+00  1.6627E+01
 37.7721 356.4710  325.708  291  1.7711E+00  1.6657E+01
 37.7740 356.4649  325.750  292  1.7708E+00  1.6686E+01
 37.7759 356.4587  325.791  293  1.7705E+00  1.6716E+01
 37.7778 356.4526  325.832  294  1.7702E+00  1.6745E+01
 37.7797 356.4465  325.874  295  1.7699E+00  1.6775E+01
 37.7816 356.4403  325.915  296  1.7696E+00  1.6804E+01
 37.7836 356.4342  325.956  297  1.7694E+00  1.6834E+01
 37.7855 356.4281  325.998  298  1.7691E+00  1.6863E+01
 37.7874 356.4219  326.039  299  1.7688E+00  1.6893E+01
 37.7893 356.4158  326.080  300  1.7685E+00  1.6922E+01
 37.7912 356.4097  326.122  301  1.7682E+00  1.6951E+01
 37.7931 356.4035  326.163  302  1.7679E+00  1.6981E+01
 37.7950 356.3974  326.205  303  1.7676E+00  1.7010E+01
 37.7969 356.3912  326.246  304  1.7673E+00  1.7040E+01
 37.7988 356.3851  326.287  305  1.7670E+00  1.7069E+01
 37.8007 356.3790  326.329  306  1.7667E+00  1.7099E+01
 37.8026 356.3728  326.370  307  1.7664E+00  1.7128E+01
 37.8045 356.3667  326.412  308  1.7661E+00  1.7158E+01
 37.8064 356.3606  326.453  309  1.7658E+00  1.7187E+01
 37.8083 356.3544  326.495  310  1.7655E+00  1.7216E+01
 37.8102 356.3483  326.536  311  1.7652E+00  1.7246E+01
 37.8121 356.3422  326.578  312  1.7649E+00  1.7275E+01
 37.8140 356.3360  326.619  313  1.7646E+00  1.7305E+01
 37.8159 356.3299  326.661  314  1.7643E+00  1.7334E+01
 37.8178 356.3237  326.702  315  1.7640E+00  1.7364E+01
 37.8197 356.3176  326.744  316  1.7637E+00  1.7393E+01
 37.8216 356.3115  326.785  317  1.7634E+00  1.7422E+01
 37.8235 356.3053  326.827  318  1.7631E+00  1.7452E+01
 37.8254 356.2992  326.869  319  1.7628E+00  1.7481E+01
 37.8273 356.2930  326.910  320  1.7625E+00  1.7510E+01
 37.8292 356.2869  326.952  321  1.7622E+00  1.7540E+01
 37.8311 356.2808  326.993  322  1.7619E+00  1.7569E+01
 37.8330 356.2746  327.035  323  1.7616E+00  1.7599E+01
 37.8349 356.2685  327.077  324  1.7613E+00  1.7628E+01
 37.8368 356.2623  327.118  325  1.7610E+00  1.7657E+01
 37.8387 356.2562  327.160  326  1.7607E+00  1.7687E+01
 37.8406 356.2500  327.201  327  1.7604E+00  1.7716E+01
 37.8425 356.2439  327.243  328  1.7601E+00  1.7745E+01
